a52dec 0.7.4-11
man-pages 5.13-1
md4c 0.4.8-1
mdadm 4.2-2
mesa 22.0.1-3
mesa-utils 8.4.0-7
mjpegtools 2.2.1-1
mkinitcpio 31-2
mkinitcpio-busybox 1.35.0-1
mkinitcpio-nfs-utils 0.3-7
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20220315-1
modemmanager 1.18.6-1
mpfr 4.1.0.p13-2
mpg123 1.29.3-1
mpv 1:0.34.1-4
mtdev 1.1.6-1
mtools 1:4.0.39-1
muffin 5.2.1-1
mujs 1.2.0-2
nano 6.2-1
nano-syntax-highlighting 2020.10.10-1
nbd 3.24-1
ncurses 6.3-2
ndctl 72.1-1
ndisc6 1.0.5-1
nemo 5.2.4-1
nemo-fileroller 5.2.0-2
nemo-image-converter 5.2.0-2
nemo-preview 5.2.0-2
nemo-share 5.2.0-2
neofetch 7.1.0-2
neon 0.32.2-1
netctl 1.28-1
nettle 3.7.3-1
network-manager-applet 1.26.0-1
networkmanager 1.36.4-1
networkmanager-openvpn 1.8.18-2
nfs-utils 2.6.1-1
nfsidmap 2.6.1-1
nilfs-utils 2.2.8-2
nm-connection-editor 1.26.0-1
nmap 7.92-1
noto-fonts 20201226-2
npth 1.6-3
nspr 4.33-2
nss 3.77-1
nss-mdns 0.15.1-1
ntfs-3g 2021.8.22-1
ntp 4.2.8.p15-1
oath-toolkit 2.6.7-1
oniguruma 6.9.7.1-2
openal 1.21.1-3
openconnect 1:8.20-2
opencore-amr 0.1.5-5
opendesktop-fonts 1.4.2-6
openexr 3.1.5-1
openjpeg2 2.4.0-1
openmpi 4.1.2-1
openresolv 3.12.0-1
openssh 9.0p1-1
openssl 1.1.1.n-1
openvpn 2.5.6-1
opus 1.3.1-3
orc 0.4.32-1
os-prober 1.79-1
p11-kit 0.24.1-1
pacman 6.0.1-4
pacman-contrib 1.4.0-4
pacman-mirrorlist 20220410-1
pacutils 0.11.1-1
pahole 1.23-1
pam 1.5.2-1
pambase 20211210-1
pango 1:1.50.7-1
pangomm 2.46.2-1
parallel 20220322-1
parted 3.5-1
